time,content
133,"人善被人欺，皇后还是心太好了"
133,"纯妃可以吃盒饭了"
133,"连失三子估计换哪个女人都活不下去了"
133,"一入宫门深似海"
134,"纯贵妃，本宫待你那么好，你为何如此对我"
134,"为什么总是害皇后，她那么善良"
134,"准确来说是三个孩子，还有一个怀着的被高贵妃害了。。"
134,"看我怎么收拾纯妃"
134,"一个还好两个三个换谁都会疯吧"
134,"纯妃可以吃盒饭了"
135,"心疼皇后一再失去亲爱的孩子对母亲来说是多大的打击！"
135,"皇后要来找高可爱我了"
135,"纯妃才是最大恶人！尔晴还太嫩了"
135,"这个大猪蹄子"
135,"准确来说是三个孩子，还有一个怀着的被高贵妃害了。。"
135,"看我怎么收拾纯妃"
136,"这么好的一个人为什么不能幸福"
136,"你的善良要有点锋芒"
136,"宫里有武功的人都死哪去了，怎么还要让皇后去救阿哥。"
136,"愿我下辈子不这么善良"
136,"皇后也是绝了，被别人害了那么多次还不长心"
136,"历史上的纯妃儿子送出去做王爷了女儿嫁了"
137,"皇后的孩子好容易就死"
137,"纯妃我说过劝你善良你领盒饭去吧"
137,"看得好心疼，那么善良的皇后"
137,"纯妃你什么时候能做些人做的事，你可以去吃盒饭了"
137,"明明知道这么多人处心积虑为什么不自己带宝宝"
137,"纯妃比我厉害多了"
138,"富察皇后算是历史上死了最多孩子的妃子了吧"
138,"饭盒好了没，本宫不想演了"
138,"对于一个母亲失了三个孩子这是多大的打击啊"
138,"本宫好桑心"
138,"做人要善良，但是也要保护自己。皇后心太大"
138,"看得好心疼，那么善良的皇后"
139,"为什么好人都没有好报???反而坏人却活的长久???"
139,"导演你让这我孩子长太慢了，来人，把导演拖出去斩了。"
139,"这么多人都是废品，就这么轻易一个孩子就被害了？"
139,"为啥善良的人都被欺负"
139,"纸巾可买好了吗兄弟们"
139,"本宫好桑心"
140,"为什么善良的人却没有得到回报反而恶人四处风光"
140,"堂堂一个皇后，没有了一个宫女连自己孩子的命都保不了"
140,"皇后善良，但不是合格的母亲，没有能力保护自己的孩子"
140,"皇后快来这盒饭肉可多了"
140,"大猪蹄子大猪蹄子"
140,"皇后心地善良，不适合在后宫"
141,"看这部剧最大的感触就是人不能太善良"
141,"我可以领盒饭啦，好开心"
141,"纯贵妃和娴妃都不是好东西"
141,"皇后心地善良，不适合在后宫"
141,"为什么善良的人却没有得到回报反而恶人四处风光"
141,"皇后快来这盒饭肉可多了"
142,"哪个剧的皇后能混到你这份上，求穿越你能长点技能值"
142,"总是伤害善良的皇后"
142,"好人有好抱。都是好人对自己的安慰其实都是坏人长寿"
142,"快让我领盒饭吧，这孩子生一个死一个太刺激了吧！"
142,"皇后真是没耳性，有过这样的先例了，还不小心谨慎"
142,"我这么善良为什么你们都要害我"
143,"皇后仁慈到失去判断力了善良不是是非不分"
143,"本宫下一世要叫福尔康"
143,"皇后不是不聪明是有个很大的软肋"
143,"我可真厉害"
143,"哪个剧的皇后能混到你这份上，求穿越你能长点技能值"
143,"总是伤害善良的皇后"
144,"我容音要去陪高可爱了"
144,"这孩子还能不在眼皮子底下看着？一群大傻子吗？"
144,"皇后善良到从来不算计别人孩子，导致别人都害她的孩子"
144,"本宫这是给你们警告做人不能太善良"
144,"不是说只有魏璎珞聪明，只是这种时候只有她敢冲进去"
144,"纯妃的盒饭热好了吗？"
145,"大猪蹄怎么活在女人堆里还这么单纯三个孩子个个意外"
145,"你的高可爱是宫里最单纯的"
145,"心地善良能活这么多集算不错了"
145,"纯妃，本宫帮你热好了盒饭"
145,"皇后人那么好！你们这样害她，肯定没有好下场的"
145,"皇后看看朕的新衣服好嘛"
146,"是的好人都没好报好人命不长祸害遗千年"
146,"皇后娘娘，做人不能太善良，你的善良必须有点锋芒"
146,"为什么善良的人没有好报"
146,"我相信如果璎珞在，肯定连命都不要也要护住皇后和孩子"
146,"李秋芸你个大猪蹄子"
146,"这辈子太善良，下辈子做了知画，工于心计。"
147,"皇后也是心大的，都失去两个孩子了还这么不上心看顾"
147,"一开始就看出来纯妃不简单"
147,"一味的善良单纯真的是害人害己"
147,"真的好坏自己去热盒饭"
147,"这皇后能当这么久也不容易啊"
147,"做人不能太善良"
148,"历史上好皇后都活不长"
148,"高可爱等等本宫，本宫这就和七阿哥找你玩去"
148,"都死了那么多孩子了还不长点心"
148,"你的善良害了你的孩子，也害了你自己"
148,"纯妃不止杀了婴儿，还害死了这么多太监"
148,"本宫疯的很优雅"
149,"经历了那么多孩子对于皇后真的太珍贵了，太重的打击了"
149,"本宫可比纯妃善良多了"
149,"最圆滑的娴妃，哪哪看不出，却最毒"
149,"纯贵妃，本宫对你那么好，你为何如此对我"
149,"最厉害的还是贤妃动动嘴皮子"
149,"纯妃不止杀了婴儿，还害死了这么多太监"
150,"为什么不夺走纯贵妃的孩子偏要夺走善良的皇后的孩子。"
150,"愿我来世不要这么善良，我来世只想做一个普通人。"
150,"做皇后没点威严怎么活拿不害人也得防人呀"
150,"本宫从来没想过害你们的孩子，你们为何害本宫的皇子？"
150,"这对一个女人来说是多大的打击"
150,"经历了那么多孩子对于皇后真的太珍贵了，太重的打击了"
151,"叶天士去哪里了！（关键时刻不在）他不是包治百病吗，为什么会这样，皇后的命不该如此的，这么好的人"
151,"本宫锝盒饭热好了吗"
151,"这么大的孩子怎么离得了身？门口怎么会不留人守着。"
151,"太后也是一路从后宫爬上来怎会不知这里面的猫腻！"
151,"看的太急人了，一个孩子都没有了"
151,"这疯狂的边缘试探"
152,"也怪皇后没有防人之心！心也挺大！孩子不跟着自己"
152,"皇后娘娘要陪本可爱下棋了"
152,"这说明人太善良真的没什么好下场"
152,"谁说好人有好报，反正我不信了"
152,"这个剧不错就是细节太经不起推敲"
152,"我太善良了，没有防备之心"
153,"宫廷剧就是教导女人不要太善良太柔弱吗"
153,"皇后娘娘好美！此时都不能掩盖的美丽！"
153,"善良的人永远吃的苦最多"
153,"防闺蜜，防闺蜜，防闺蜜重要的事情说三遍。"
153,"娴妃我劝你善良。做人不要做太绝。当上皇后能怎样？"
153,"也怪皇后没有防人之心！心也挺大！孩子不跟着自己"
154,"那么多人就没有一个人肯冲进去，也是服了"
154,"本宫去陪高可爱了"
154,"无辜的孩子，皇后的孩子没一个能活"
154,"都是皇上害得娶那么多女人干嘛"
154,"善良的人都没有好报吗？"
154,"皇后娘娘好美！此时都不能掩盖的美丽！"
155,"皇后过度善良不会保护自己，孩子大了她也保护不了"
155,"纯妃儿子好好当个亲王也挺好的啊，太不知足，这么作妖"
155,"自己的问题好吧就是没照顾好啊"
155,"纯妃，本宫等着你了。盒饭已经给你热好了"
155,"多希望皇后好好的活着，黑化也没关系"
155,"做人不能太善良啊"
156,"扎心。这部剧在告诉我当好人总是不会有好报"
156,"你个大猪蹄子"
156,"认真的不能太善良"
156,"是你又如何，你个只生不养的人"
156,"太过善良的在宫里都养不活孩子"
156,"纯妃儿子好好当个亲王也挺好的啊，太不知足，这么作妖"
157,"纯妃是明显的缺爱没安全感占有欲极强导致妒忌心极强"
157,"高可爱不在的第N天想她想她"
157,"人不能太善良失去防备之心，你的善良要有锋芒"
157,"本宫不该太善良"
157,"魏璎珞什么时候和大猪蹄子在一起什么时候和大猪蹄"
157,"皇后娘娘真美"
158,"善良的人都没有好下场"
158,"皇后并不单纯，她只是选择了善良，更可贵"
